,Train,Validate,Test
TNR,0.8663986656973015,0.8617858364693808,0.8601532567049809
TPR,0.6601549343213203,0.623989218328841,0.6584051724137931
bACC,0.7632768000093109,0.7428875273991109,0.759279214559387
ROC,0.8457876106962066,0.7958441185393657,0.8103139361917974
REC,0.6601549343213203,0.623989218328841,0.6584051724137931
PRE,0.38552321007081036,0.36428009441384734,0.3741579914268218
AP,0.5324363486290415,0.45450352220690843,0.4782960986704131
