iter	Passed	Remaining
351	3023	5566
352	3031	5557
353	3039	5547
354	3048	5539
355	3056	5529
356	3064	5520
357	3072	5510
358	3078	5497
359	3087	5489
360	3094	5477
361	3102	5467
362	3110	5458
363	3118	5448
364	3126	5439
365	3134	5430
366	3143	5422
367	3151	5412
368	3159	5403
369	3167	5393
370	3175	5384
371	3183	5374
372	3191	5365
373	3200	5356
374	3207	5346
375	3215	5336
376	3223	5326
377	3231	5317
378	3239	5308
379	3247	5298
380	3255	5288
381	3263	5279
382	3272	5271
383	3280	5262
384	3288	5253
385	3296	5244
386	3304	5235
387	3313	5225
388	3320	5215
389	3328	5206
390	3336	5197
391	3343	5186
392	3351	5176
393	3359	5167
394	3367	5158
395	3375	5147
396	3383	5138
397	3391	5129
398	3399	5121
399	3407	5111
400	3415	5101
401	3420	5087
402	3429	5080
403	3438	5072
404	3445	5062
405	3453	5052
406	3461	5044
407	3470	5035
408	3478	5026
409	3486	5016
410	3494	5007
411	3502	4998
412	3510	4989
413	3518	4979
414	3526	4970
415	3534	4961
416	3542	4953
417	3550	4943
418	3558	4934
419	3567	4926
420	3576	4918
421	3583	4908
422	3592	4899
423	3600	4891
424	3609	4883
425	3618	4875
426	3626	4865
427	3634	4856
428	3642	4847
429	3650	4839
430	3658	4830
431	3666	4820
432	3674	4811
433	3682	4802
434	3690	4792
435	3698	4783
436	3702	4770
437	3706	4756
438	3714	4747
439	3722	4738
440	3730	4729
441	3738	4719
442	3746	4710
443	3753	4700
444	3759	4689
445	3767	4680
446	3775	4671
447	3783	4662
448	3792	4653
449	3800	4644
450	3810	4638
451	3818	4629
452	3825	4619
453	3833	4610
454	3841	4601
455	3849	4591
456	3857	4582
457	3864	4573
458	3872	4564
459	3880	4555
460	3888	4546
461	3896	4537
462	3904	4528
463	3912	4519
464	3919	4509
465	3928	4501
466	3936	4492
467	3943	4482
468	3951	4473
469	3959	4465
470	3967	4456
471	3975	4447
472	3983	4437
473	3990	4428
474	3999	4420
475	4007	4411
476	4014	4401
477	4022	4392
478	4031	4384
479	4038	4375
480	4047	4366
481	4055	4358
482	4063	4349
483	4071	4341
484	4079	4332
485	4087	4323
486	4095	4314
487	4103	4305
488	4111	4296
489	4119	4287
490	4128	4279
491	4136	4271
492	4145	4262
493	4153	4253
494	4161	4245
495	4169	4236
496	4177	4228
497	4185	4219
498	4193	4210
499	4202	4202
500	4210	4193
501	4214	4180
502	4222	4171
503	4230	4163
504	4238	4154
505	4247	4146
506	4255	4138
507	4263	4129
508	4271	4119
509	4278	4111
510	4286	4102
511	4295	4094
512	4303	4085
513	4311	4076
514	4320	4068
515	4327	4059
516	4335	4050
517	4340	4038
518	4348	4029
519	4356	4021
520	4364	4012
521	4372	4003
522	4380	3995
523	4389	3987
524	4397	3978
525	4405	3969
526	4413	3960
527	4421	3952
528	4429	3943
529	4437	3934
530	4445	3926
531	4452	3917
532	4460	3908
533	4469	3900
534	4477	3891
535	4485	3882
536	4494	3874
537	4501	3865
538	4510	3857
539	4518	3848
540	4526	3840
541	4534	3831
542	4542	3823
543	4550	3814
544	4558	3805
545	4565	3796
546	4574	3788
547	4582	3779
548	4590	3770
549	4597	3761
550	4606	3753
551	4613	3744
552	4621	3735
553	4629	3727
554	4637	3718
555	4645	3709
556	4653	3701
557	4662	3693
558	4670	3684
559	4678	3675
560	4686	3667
561	4693	3658
562	4701	3649
563	4709	3640
564	4717	3631
565	4724	3623
566	4733	3614
567	4741	3605
568	4749	3597
569	4757	3589
570	4765	3580
571	4773	3571
572	4781	3562
573	4789	3554
574	4792	3542
575	4804	3536
576	4812	3528
577	4820	3519
578	4828	3510
579	4836	3502
580	4844	3493
581	4853	3485
582	4861	3477
583	4869	3468
584	4877	3459
585	4885	3451
586	4892	3442
587	4897	3431
588	4905	3422
589	4910	3412
590	4918	3404
591	4927	3395
592	4934	3386
593	4942	3378
594	4950	3369
595	4959	3361
596	4967	3353
597	4975	3344
598	4983	3336
599	4991	3327
600	4999	3319
601	5008	3311
602	5016	3302
603	5024	3294
604	5028	3283
605	5036	3274
606	5045	3266
607	5052	3257
608	5060	3249
609	5068	3240
610	5076	3231
611	5084	3223
612	5092	3214
613	5100	3206
614	5111	3199
615	5119	3191
616	5127	3182
617	5135	3174
618	5143	3166
619	5151	3157
620	5159	3148
621	5166	3140
622	5175	3131
623	5182	3122
624	5188	3113
625	5197	3104
626	5204	3096
627	5212	3087
628	5220	3079
629	5228	3070
630	5236	3062
631	5244	3053
632	5252	3045
633	5260	3036
634	5268	3028
635	5276	3019
636	5284	3011
637	5292	3002
638	5300	2994
639	5308	2985
640	5316	2977
641	5323	2968
642	5331	2960
643	5339	2951
644	5347	2943
645	5355	2934
646	5363	2926
647	5371	2918
648	5379	2909
649	5387	2900
650	5395	2892
651	5403	2884
652	5411	2875
653	5419	2867
654	5427	2858
655	5434	2850
656	5442	2841
657	5450	2832
658	5459	2824
659	5467	2816
660	5476	2808
661	5489	2802
662	5497	2794
663	5504	2785
664	5512	2776
665	5520	2768
666	5529	2760
667	5537	2752
668	5545	2743
669	5553	2735
670	5561	2726
671	5569	2718
672	5578	2710
673	5582	2699
674	5589	2691
675	5597	2682
676	5605	2674
677	5613	2665
678	5621	2657
679	5629	2649
680	5637	2640
681	5646	2632
682	5653	2624
683	5661	2615
684	5669	2607
685	5677	2598
686	5685	2590
687	5693	2582
688	5701	2573
689	5710	2565
690	5718	2557
691	5726	2548
692	5734	2540
693	5742	2531
694	5750	2523
695	5757	2514
696	5765	2506
697	5773	2497
698	5781	2489
699	5791	2482
700	5800	2473
701	5808	2465
702	5816	2457
703	5824	2449
704	5832	2440
705	5840	2432
706	5848	2423
707	5856	2415
708	5864	2406
709	5872	2398
710	5880	2390
711	5888	2381
712	5896	2373
713	5904	2365
714	5912	2356
715	5920	2348
716	5928	2339
717	5936	2331
718	5944	2323
719	5951	2314
720	5961	2306
721	5970	2298
722	5974	2288
723	5982	2280
724	5991	2272
725	6000	2264
726	6009	2256
727	6017	2248
728	6025	2239
729	6032	2231
730	6041	2223
731	6049	2214
732	6057	2206
733	6065	2198
734	6073	2189
735	6081	2181
736	6089	2172
737	6096	2164
738	6104	2156
739	6112	2147
740	6120	2139
741	6128	2130
742	6136	2122
743	6144	2114
744	6152	2105
745	6161	2097
746	6169	2089
747	6177	2081
748	6185	2072
749	6193	2064
750	6200	2055
751	6208	2047
752	6216	2039
753	6224	2030
754	6232	2022
755	6240	2014
756	6248	2005
757	6256	1997
758	6264	1989
759	6272	1980
760	6280	1972
761	6288	1964
762	6296	1955
763	6304	1947
764	6312	1939
765	6320	1930
766	6327	1922
767	6335	1913
768	6343	1905
769	6351	1897
770	6359	1888
771	6367	1880
772	6375	1872
773	6383	1863
774	6391	1855
775	6399	1847
776	6407	1838
777	6410	1829
778	6419	1821
779	6427	1813
780	6435	1804
781	6444	1796
782	6452	1788
783	6461	1780
784	6469	1771
785	6477	1763
786	6481	1754
787	6489	1745
788	6497	1737
789	6505	1729
790	6513	1721
791	6521	1712
792	6529	1704
793	6537	1696
794	6548	1688
795	6557	1680
796	6565	1672
797	6573	1663
798	6580	1655
799	6588	1647
800	6596	1638
801	6603	1630
802	6611	1622
803	6619	1613
804	6627	1605
805	6635	1597
806	6643	1588
807	6650	1580
808	6658	1572
809	6666	1563
810	6674	1555
811	6682	1547
812	6690	1538
813	6697	1530
814	6705	1522
815	6713	1513
816	6721	1505
817	6729	1497
818	6737	1488
819	6745	1480
820	6752	1472
821	6760	1463
822	6768	1455
823	6776	1447
824	6784	1439
825	6792	1430
826	6800	1422
827	6808	1414
828	6816	1406
829	6823	1397
830	6831	1389
831	6839	1381
832	6848	1372
833	6856	1364
834	6864	1356
835	6874	1348
836	6881	1340
837	6890	1332
838	6898	1323
839	6906	1315
840	6913	1307
841	6922	1299
842	6930	1290
843	6938	1282
844	6947	1274
845	6954	1266
846	6963	1257
847	6970	1249
848	6978	1241
849	6986	1232
850	6994	1224
851	7002	1216
852	7009	1208
853	7017	1199
854	7025	1191
855	7033	1183
856	7041	1174
857	7049	1166
858	7057	1158
859	7065	1150
860	7073	1141
861	7081	1133
862	7089	1125
863	7097	1117
864	7105	1108
865	7113	1100
866	7121	1092
867	7129	1084
868	7136	1075
869	7144	1067
870	7152	1059
871	7160	1051
872	7168	1042
873	7176	1034
874	7184	1026
875	7192	1018
876	7200	1009
877	7208	1001
878	7216	993
879	7224	985
880	7232	976
881	7240	968
882	7248	960
883	7257	952
884	7265	944
885	7272	935
886	7280	927
887	7288	919
888	7296	911
889	7304	902
890	7312	894
891	7320	886
892	7328	878
893	7336	869
894	7344	861
895	7352	853
896	7360	845
897	7368	836
898	7376	828
899	7384	820
900	7392	812
901	7400	804
902	7408	795
903	7416	787
904	7424	779
905	7432	771
906	7444	763
907	7452	755
908	7460	746
909	7468	738
910	7476	730
911	7484	722
912	7492	713
913	7499	705
914	7507	697
915	7516	689
916	7524	681
917	7532	672
918	7540	664
919	7548	656
920	7556	648
921	7563	639
922	7571	631
923	7579	623
924	7587	615
925	7594	606
926	7602	598
927	7610	590
928	7618	582
929	7626	574
930	7634	565
931	7642	557
932	7650	549
933	7658	541
934	7666	532
935	7674	524
936	7682	516
937	7689	508
938	7698	500
939	7705	491
940	7714	483
941	7722	475
942	7731	467
943	7738	459
944	7746	450
945	7754	442
946	7762	434
947	7771	426
948	7779	418
949	7788	409
950	7796	401
951	7805	393
952	7812	385
953	7821	377
954	7829	368
955	7836	360
956	7844	352
957	7852	344
958	7860	336
959	7867	327
960	7875	319
961	7884	311
962	7892	303
963	7904	295
964	7916	287
965	7929	279
966	7939	270
967	7951	262
968	7961	254
969	7970	246
970	7978	238
971	7986	230
972	7994	221
973	8002	213
974	8010	205
975	8019	197
976	8026	188
977	8034	180
978	8042	172
979	8051	164
980	8059	156
981	8067	147
982	8074	139
983	8082	131
984	8090	123
985	8097	114
986	8106	106
987	8114	98
988	8122	90
989	8130	82
990	8137	73
991	8145	65
992	8153	57
993	8161	49
994	8168	41
995	8176	32
996	8185	24
997	8195	16
998	8205	8
999	8213	0
